name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Kafilla,Delhi,Tagore Garden Extension,3.7,50+ ratings,['Tandoor' 'North Indian' 'Chinese' 'Beverages'],₹300 FOR TWO,65.0,False,Shop no. 20 DDA MARKET TAGORE GARDEN NEW DELHI 110027,Non-Veg,Medium,Restaurant: Kafilla. Area: Tagore Garden Extension. Cuisine: ['Tandoor' 'North Indian' 'Chinese' 'Beverages']. Budget: Medium. Rating: 3.7. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 65.0 mins. Address: Shop no. 20 DDA MARKET TAGORE GARDEN NEW DELHI 110027.
Khalsa Restaurant,Delhi,Krishna Park Tilak Nagar,4.1,500+ ratings,['North Indian' 'Chinese'],₹300 FOR TWO,73.0,False,4 Gali 11 Krishna Park Guru Ram Dass Marg Opposite Tilak Nagar Tilak Nagar New Delhi,Non-Veg,Medium,Restaurant: Khalsa Restaurant. Area: Krishna Park Tilak Nagar. Cuisine: ['North Indian' 'Chinese']. Budget: Medium. Rating: 4.1. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 73.0 mins. Address: 4 Gali 11 Krishna Park Guru Ram Dass Marg Opposite Tilak Nagar Tilak Nagar New Delhi.
Cake Factory,Delhi,Tagore Garden Extension,--,Too Few Ratings,['Bakery'],₹500 FOR TWO,72.0,True,C-153Tagore Garden Ext. Near Durga temple New Delhi Delhi India,Veg,Medium,Restaurant: Cake Factory. Area: Tagore Garden Extension. Cuisine: ['Bakery']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 72.0 mins. Address: C-153Tagore Garden Ext. Near Durga temple New Delhi Delhi India.
Dashmesh Tiffin Service,Delhi,Tagore Garden Extension,--,Too Few Ratings,['North Indian' 'Beverages'],₹300 FOR TWO,75.0,False,D-134 TAGORE GARDEN EXTENSION NEAR. SUBHASH MARKET (DDA MARKET) Rajouri Garden  West  STATE - Delhi- 110027,Non-Veg,Medium,Restaurant: Dashmesh Tiffin Service. Area: Tagore Garden Extension. Cuisine: ['North Indian' 'Beverages']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 75.0 mins. Address: D-134 TAGORE GARDEN EXTENSION NEAR. SUBHASH MARKET (DDA MARKET) Rajouri Garden  West  STATE - Delhi- 110027.
CAKE WORLD,Delhi,Tagore Garden Extension,--,Too Few Ratings,['Desserts' 'Snacks' 'Continental'],₹300 FOR TWO,74.0,True,C-153near durga templetagore garden extenshion District - WestDelhi- 110027,Veg,Medium,Restaurant: CAKE WORLD. Area: Tagore Garden Extension. Cuisine: ['Desserts' 'Snacks' 'Continental']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 74.0 mins. Address: C-153near durga templetagore garden extenshion District - WestDelhi- 110027.
Satguru Tiffin Service,Delhi,Tagore Garden Extension,3.5,20+ ratings,['North Indian' 'Chinese' 'Desserts' 'Fast Food'],₹200 FOR TWO,73.0,False,D-209 Second Floor Tagore Garden Extension Tagore Garden New Delhi,Non-Veg,Low,Restaurant: Satguru Tiffin Service. Area: Tagore Garden Extension. Cuisine: ['North Indian' 'Chinese' 'Desserts' 'Fast Food']. Budget: Low. Rating: 3.5. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 73.0 mins. Address: D-209 Second Floor Tagore Garden Extension Tagore Garden New Delhi.
Mama chicken,Delhi,KESHAV PURAM,--,Too Few Ratings,['Chinese' 'North Indian' 'Pastas' 'Snacks' 'Mughlai'],₹450 FOR TWO,72.0,False,B4/1A KESHAV PURAM NEAR KESHAV PURAM METRO STATION DELHI 110035 AZADPUR MODEL TOWN North  Delhi - 110035,Non-Veg,Medium,Restaurant: Mama chicken. Area: KESHAV PURAM. Cuisine: ['Chinese' 'North Indian' 'Pastas' 'Snacks' 'Mughlai']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 72.0 mins. Address: B4/1A KESHAV PURAM NEAR KESHAV PURAM METRO STATION DELHI 110035 AZADPUR MODEL TOWN North  Delhi - 110035.
Indi Fork,Delhi,Punjabi Bagh,--,Too Few Ratings,['North Indian'],₹1000 FOR TWO,70.0,False,35 NWA Club Rd West Punjabi Bagh Punjabi Bagh New Delhi Delhi 110026 India,Non-Veg,Low,Restaurant: Indi Fork. Area: Punjabi Bagh. Cuisine: ['North Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 70.0 mins. Address: 35 NWA Club Rd West Punjabi Bagh Punjabi Bagh New Delhi Delhi 110026 India.
Cake 24Ghante,Delhi,Tagore Garden Extension,--,Too Few Ratings,['Bakery'],₹500 FOR TWO,70.0,True,Block C-153 Vishal Enclave Tagore Garden Extension New Delhi Delhi 110018,Veg,Medium,Restaurant: Cake 24Ghante. Area: Tagore Garden Extension. Cuisine: ['Bakery']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 70.0 mins. Address: Block C-153 Vishal Enclave Tagore Garden Extension New Delhi Delhi 110018.
Radha Swami Chaap Wala,Delhi,Rajouri Garden,--,Too Few Ratings,['North Indian' 'Chinese' 'Tandoor'],₹300 FOR TWO,76.0,True,WZ-6BMukherjee ParkTilak NagarNew Delhi CHOKHANDI PATEL NAGAR West Delhi - 110018,Veg,Medium,Restaurant: Radha Swami Chaap Wala. Area: Rajouri Garden. Cuisine: ['North Indian' 'Chinese' 'Tandoor']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 76.0 mins. Address: WZ-6BMukherjee ParkTilak NagarNew Delhi CHOKHANDI PATEL NAGAR West Delhi - 110018.
